id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,banger
5xLClyAovTPRKoq1NwG3hX,0.00163,0.646,0.796,6.1e-05,1,0.455,-7.14,0.251,0
3hnfHGYUz2jkQS4YdfGLg8,0.0474,0.797,0.9,0.825,10,0.175,-8.718,0.0634,0
3Wk2T1Z7dwwJycJ36xsaJu,0.265,0.671,0.645,0.555,6,0.13,-7.706,0.467,0
6MbXhMzhHx8YaqpiR2cG2A,0.000457,0.775,0.903,0.907,1,0.216,-9.299,0.0604,0
36DqvbjEhRFAkalC07ipaq,0.00253,0.809,0.494,0.797,11,0.965,-7.944,0.181,0
5F5MUololCqnTs4dSkkWZI,0.0243,0.659,0.87,0.0239,7,0.165,-6.301,0.038,0
2yFlLq7KTzinClrDZCFpIq,0.0117,0.601,0.821,0.351,1,0.0769,-6.552,0.0812,1
7ku9Vhn0qXDI8Ql2Ntv0Fy,0.00376,0.649,0.787,0.904,4,0.0745,-7.133,0.0368,0
0SSu9sUSXg5sQ8YaGt9a4T,0.00109,0.636,0.975,0.891,2,0.105,-9.892,0.0322,0
7DnT2PRxqPgwHKQ1TFCm1Q,0.0381,0.475,0.868,0.896,9,0.338,-5.892,0.271,0
0prchhpxILhv12shThWGFy,0.0476,0.591,0.795,0.0482,5,0.0968,-4.254,0.0274,0
2jZruG2sDWFn3cia9q65D9,0.165,0.441,0.89,0.964,7,0.192,-7.322,0.0315,0
4PjhlVKVwpiAl4wDdQ0jqW,0.00158,0.633,0.974,0.899,2,0.111,-9.873,0.0328,0
2gxRk0mueYnxKxtGUq62Qj,0.0212,0.699,0.968,0.853,7,0.0979,-5.844,0.13,0
7JQZmqgQJ3DeZZpQYL0wzM,0.00961,0.728,0.885,0.299,7,0.11,-6.405,0.102,0
0ApaWvsJdyaaxTd7nMB6r2,0.00138,0.745,0.915,0.884,2,0.099,-8.407,0.0521,1
3RQOVHqFmLXrchetwXE6Xq,0.000302,0.757,0.704,0.731,0,0.0865,-7.558,0.0348,0
6QwD8lmog1hVLXNkEifICJ,0.00282,0.745,0.816,0.617,11,0.0242,-7.445,0.0629,0
2IMhZb1s5sHMmDld2JaXQU,0.000247,0.776,0.685,0.898,9,0.0832,-5.405,0.231,0
1XUIR1at2q96CiXQrc5l2B,0.00165,0.615,0.934,2.3e-06,1,0.131,-3.986,0.428,0
1seX7FnBx6lYCDGnLmjW4j,0.0903,0.803,0.51,0.891,1,0.0958,-10.26,0.0731,0
5JMLbYFc8Q80zfCaJzcFbA,0.13,0.795,0.304,0.359,2,0.304,-15.519,0.0671,0
4nyxYmKeEoVQVHeBz64LQw,0.000121,0.531,0.874,0.924,1,0.0808,-7.209,0.0279,0
0mpqCR683SHjMDOJe8hbg7,0.203,0.847,0.483,0.397,4,0.082,-11.904,0.0515,0
7296GuSWHGeD0ThMuBHrWw,0.000183,0.493,0.928,0.0225,1,0.0809,-4.978,0.0758,1
53l6Qgvf7vgqjqv4nQo87D,8.52e-05,0.6,0.944,0.859,2,0.87,-6.818,0.0382,0
3uJaSd27UCPb8XQK4WdlNc,0.0117,0.688,0.953,0.9,4,0.275,-7.063,0.0458,0
